X,Y,Z
7.43575,-1.73751,0.202791
7.43475,-1.75048,0.202773
7.43475,-1.7637,0.202773
7.43575,-1.77717,0.202791
7.47975,1.92235,0.190285
7.47775,1.90855,0.190253
7.47775,1.89526,0.190253
7.47875,1.88221,0.190269
7.49375,1.87259,0.190513
7.44875,-1.72746,0.189782
7.43575,-1.73751,0.189571
7.43475,-1.75048,0.189555
7.43475,-1.7637,0.189555
7.43575,-1.77717,0.189571
7.47975,1.92235,0.176986
7.47775,1.90855,0.176957
7.47775,1.89526,0.176957
7.47875,1.88221,0.176971
7.49375,1.87259,0.177188
7.44875,-1.72746,0.176539
7.43575,-1.73751,0.176351
7.43475,-1.75048,0.176336
7.43475,-1.7637,0.176336
7.43575,-1.77717,0.176351
7.40175,1.92897,0.162701
7.40175,1.91581,0.162701
7.40175,1.90265,0.162701
7.40075,1.88925,0.162689
7.40075,1.87609,0.162689
7.45075,1.87529,0.16332
7.49375,1.87259,0.163863
7.44675,-1.72697,0.16327
7.38975,-1.72622,0.16255
7.35775,-1.73145,0.162146
7.35775,-1.74453,0.162146
7.35775,-1.75761,0.162146
7.35775,-1.77069,0.162146
7.35775,-1.78377,0.162146
7.40175,1.92897,0.149543
7.40175,1.91581,0.149543
7.40175,1.90265,0.149543
7.40075,1.88925,0.149532
7.40075,1.87609,0.149532
7.45075,1.87529,0.150073
7.49375,1.87259,0.150538
7.44675,-1.72697,0.15003
7.38975,-1.72622,0.149413
7.35775,-1.73145,0.149067
7.35775,-1.74453,0.149067
7.35775,-1.75761,0.149067
7.35775,-1.77069,0.149067
7.35775,-1.78377,0.149067
7.40175,1.92897,0.136384
7.40175,1.91581,0.136384
7.40175,1.90265,0.136384
7.40075,1.88925,0.136375
7.40075,1.87609,0.136375
7.45075,1.87529,0.136826
7.49375,1.87259,0.137214
7.44675,-1.72697,0.13679
7.38975,-1.72622,0.136276
7.35775,-1.73145,0.135987
7.35775,-1.74453,0.135987
7.35775,-1.75761,0.135987
7.35775,-1.77069,0.135987
7.35775,-1.78377,0.135987
7.40175,1.92897,0.123225
7.40175,1.91581,0.123225
7.40175,1.90265,0.123225
7.40075,1.88925,0.123218
7.40075,1.87609,0.123218
7.45075,1.87529,0.123579
7.49375,1.87259,0.123889
7.44675,-1.72697,0.12355
7.38975,-1.72622,0.123139
7.35775,-1.73145,0.122908
7.35775,-1.74453,0.122908
7.35775,-1.75761,0.122908
7.35775,-1.77069,0.122908
7.35775,-1.78377,0.122908
7.40175,1.92897,0.110066
7.40175,1.91581,0.110066
7.40175,1.90265,0.110066
7.40075,1.88925,0.110061
7.40075,1.87609,0.110061
7.45075,1.87529,0.110332
7.49375,1.87259,0.110564
7.44675,-1.72697,0.11031
7.38975,-1.72622,0.110001
7.35775,-1.73145,0.109828
7.35775,-1.74453,0.109828
7.35775,-1.75761,0.109828
7.35775,-1.77069,0.109828
7.35775,-1.78377,0.109828
7.40175,1.92897,0.0969076
7.40175,1.91581,0.0969076
7.40175,1.90265,0.0969076
7.40075,1.88925,0.096904
7.40075,1.87609,0.096904
7.45075,1.87529,0.0970844
7.49375,1.87259,0.0972395
7.44675,-1.72697,0.0970699
7.38975,-1.72622,0.0968643
7.35775,-1.73145,0.0967489
7.35775,-1.74453,0.0967489
7.35775,-1.75761,0.0967489
7.35775,-1.77069,0.0967489
7.35775,-1.78377,0.0967489
7.40175,1.92897,0.0837488
7.40175,1.91581,0.0837488
7.40175,1.90265,0.0837488
7.40075,1.88925,0.083747
7.40075,1.87609,0.083747
7.45075,1.87529,0.0838372
7.49375,1.87259,0.0839148
7.44675,-1.72697,0.08383
7.38975,-1.72622,0.0837272
7.35775,-1.73145,0.0836694
7.35775,-1.74453,0.0836694
7.35775,-1.75761,0.0836694
7.35775,-1.77069,0.0836694
7.35775,-1.78377,0.0836694
7.40175,1.92897,0.07059
7.40175,1.91581,0.07059
7.40175,1.90265,0.07059
7.40075,1.88925,0.07059
7.40075,1.87609,0.07059
7.45075,1.87529,0.07059
7.49375,1.87259,0.07059
7.44675,-1.72697,0.07059
7.38975,-1.72622,0.07059
7.35775,-1.73145,0.07059
7.35775,-1.74453,0.07059
7.35775,-1.75761,0.07059
7.35775,-1.77069,0.07059
7.35775,-1.78377,0.07059
7.40175,1.92897,0.0574312
7.40175,1.91581,0.0574312
7.40175,1.90265,0.0574312
7.40075,1.88925,0.0574331
7.40075,1.87609,0.0574331
7.45075,1.87529,0.0573429
7.49375,1.87259,0.0572653
7.44675,-1.72697,0.0573501
7.38975,-1.72622,0.0574529
7.35775,-1.73145,0.0575106
7.35775,-1.74453,0.0575106
7.35775,-1.75761,0.0575106
7.35775,-1.77069,0.0575106
7.35775,-1.78377,0.0575106
7.40175,1.92897,0.0442725
7.40175,1.91581,0.0442725
7.40175,1.90265,0.0442725
7.40075,1.88925,0.0442761
7.40075,1.87609,0.0442761
7.45075,1.87529,0.0440957
7.49375,1.87259,0.0439406
7.44675,-1.72697,0.0441101
7.38975,-1.72622,0.0443158
7.35775,-1.73145,0.0444312
7.35775,-1.74453,0.0444312
7.35775,-1.75761,0.0444312
